Number,Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description
15,Alfa-Romeo,4C,2021,45986.94,66553,Sports Car,4,Automatic Transmission,Gasoline,Black, Dubai,"2021 alfa-romeo 4c with Sunroof, Navigation system, Bluetooth, Adaptive cruise control. Condition: Engine repaired."
16,Alfa-Romeo,Giulietta,2024,16655.76,89558,Hatchback,4,Automatic Transmission,Gasoline,Grey, Dubai,"2024 alfa-romeo giulietta with Sunroof, Leather seats. Condition: No damage."
17,Alfa-Romeo,Giulia,2014,54326.43,129595,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2014 alfa-romeo giulia with Sunroof, Adaptive cruise control, Rear camera, Leather seats. Condition: Minor scratches."
18,Alfa-Romeo,Giulietta,2014,26574.21,280307,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai,"2014 alfa-romeo giulietta with Bluetooth, Sunroof, Adaptive cruise control. Condition: Engine repaired."
19,Alfa-Romeo,Giulietta,2017,29369.79,295722,Hatchback,4,Automatic Transmission,Gasoline,Black, Dubai,"2017 alfa-romeo giulietta with Navigation system, Bluetooth, Adaptive cruise control, Rear camera. Condition: Minor scratches."
20,Alfa-Romeo,Stelvio,2021,37217.07,30105,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2021 alfa-romeo stelvio with Bluetooth, Sunroof, Rear camera, Adaptive cruise control. Condition: Dented door."
21,Alfa-Romeo,Stelvio,2006,35050.59,168109,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2006 alfa-romeo stelvio with Bluetooth, Adaptive cruise control, Rear camera, Leather seats. Condition: No damage."
22,Alfa-Romeo,Stelvio,2010,30822.93,51583,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2010 alfa-romeo stelvio with Sunroof, Leather seats, Navigation system. Condition: Repainted bumper."
23,Alfa-Romeo,Giulia,2005,30447.63,270154,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2005 alfa-romeo giulia with Sunroof, Bluetooth, Rear camera, Adaptive cruise control. Condition: Accident history."
24,Alfa-Romeo,Giulia,2019,38735.01,220986,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2019 alfa-romeo giulia with Navigation system, Adaptive cruise control, Leather seats. Condition: Minor scratches."
25,Alfa-Romeo,Giulietta,2018,26356.05,283678,Hatchback,4,Automatic Transmission,Gasoline,Red, Dubai,"2018 alfa-romeo giulietta with Leather seats, Adaptive cruise control, Navigation system, Sunroof. Condition: Repainted bumper."
26,Aston-Martin,Rapide,2011,81793.26,264405,Sedan,12,Automatic Transmission,Gasoline,White, Dubai,"2011 aston-martin rapide with Leather seats, Navigation system. Condition: Minor scratches."
27,Aston-Martin,Vantage,2020,44555.4,251284,Coupe,8,Automatic Transmission,Gasoline,White, Dubai,"2020 aston-martin vantage with Sunroof, Bluetooth, Rear camera, Navigation system. Condition: Accident history."
28,Aston-Martin,Db11,2023,109577.07,179343,Coupe,12,Automatic Transmission,Gasoline,Green, Dubai,"2023 aston-martin db11 with Sunroof, Leather seats, Adaptive cruise control. Condition: Dented door."
29,Aston-Martin,Other,2012,261244.98,135764,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2012 aston-martin other with Adaptive cruise control, Leather seats. Condition: Dented door."
30,Aston-Martin,Rapide,2023,98077.5,35102,Sedan,12,Automatic Transmission,Gasoline,White, Dubai,"2023 aston-martin rapide with Leather seats, Navigation system, Bluetooth, Rear camera. Condition: Accident history."
31,Aston-Martin,Vantage,2013,129166.38,27537,Coupe,8,Automatic Transmission,Gasoline,Green, Dubai,"2013 aston-martin vantage with Navigation system, Adaptive cruise control. Condition: Repainted bumper."
32,Aston-Martin,Dbs,2009,292941.63,203019,Coupe,8,Manual Transmission,Gasoline,Grey, Dubai,"2009 aston-martin dbs with Adaptive cruise control, Rear camera. Condition: Accident history."
33,Aston-Martin,Db11,2013,309153.24,217964,Coupe,8,Automatic Transmission,Gasoline,Blue, Dubai,"2013 aston-martin db11 with Navigation system, Sunroof, Adaptive cruise control. Condition: No damage."
34,Aston-Martin,Db11,2021,206533.53,144763,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2021 aston-martin db11 with Bluetooth, Rear camera, Adaptive cruise control, Sunroof. Condition: No damage."
35,Aston-Martin,Vantage,2015,57464.1,298904,Coupe,8,Manual Transmission,Gasoline,Black, Dubai,"2015 aston-martin vantage with Adaptive cruise control, Bluetooth. Condition: Minor scratches."
36,Aston-Martin,Dbs,2010,300232.44,240548,Coupe,8,Manual Transmission,Gasoline,Grey, Dubai,"2010 aston-martin dbs with Sunroof, Rear camera, Navigation system, Leather seats. Condition: Dented door."
37,Aston-Martin,Db11,2005,136991.52,135563,Coupe,12,Automatic Transmission,Gasoline,Green, Dubai,"2005 aston-martin db11 with Sunroof, Bluetooth, Leather seats, Adaptive cruise control. Condition: Minor scratches."
38,Aston-Martin,Vanquish,2009,133223.4,214015,Coupe,8,Automatic Transmission,Gasoline,Silver, Dubai,"2009 aston-martin vanquish with Navigation system, Adaptive cruise control, Rear camera, Sunroof. Condition: Engine repaired."
39,Aston-Martin,Db9,2020,97039.08,255125,Coupe,12,Automatic Transmission,Gasoline,Brown, Dubai,"2020 aston-martin db9 with Bluetooth, Leather seats. Condition: Minor scratches."
40,Aston-Martin,Db11,2006,219993.57,210934,Coupe,8,Automatic Transmission,Gasoline,Blue, Dubai,"2006 aston-martin db11 with Rear camera, Sunroof, Navigation system. Condition: Accident history."
41,Aston-Martin,Db11,2020,287779.5,288959,Coupe,8,Automatic Transmission,Gasoline,Grey, Dubai,"2020 aston-martin db11 with Bluetooth, Navigation system, Sunroof. Condition: Accident history."
42,Aston-Martin,Vantage,2016,205899.57,277343,Coupe,12,Automatic Transmission,Gasoline,Blue, Dubai,"2016 aston-martin vantage with Adaptive cruise control, Bluetooth, Rear camera. Condition: Dented door."
43,Aston-Martin,Vantage,2012,138134.16,267384,Sports Car,12,Automatic Transmission,Gasoline,Silver, Dubai,"2012 aston-martin vantage with Sunroof, Bluetooth. Condition: Repainted bumper."
44,Aston-Martin,Vantage,2024,186646.41,129924,Coupe,12,Automatic Transmission,Gasoline,Blue, Dubai,"2024 aston-martin vantage with Adaptive cruise control, Rear camera. Condition: Repainted bumper."
45,Aston-Martin,Db11,2020,184781.25,69631,Coupe,8,Automatic Transmission,Gasoline,Blue, Dubai,"2020 aston-martin db11 with Sunroof, Leather seats. Condition: No damage."
46,Aston-Martin,Vantage,2016,44055.36,46933,Coupe,8,Automatic Transmission,Gasoline,Grey, Dubai,"2016 aston-martin vantage with Rear camera, Adaptive cruise control, Navigation system. Condition: Dented door."
47,Aston-Martin,Db9,2011,100459.44,76915,Coupe,12,Automatic Transmission,Gasoline,Gold, Dubai,"2011 aston-martin db9 with Leather seats, Adaptive cruise control, Navigation system, Bluetooth. Condition: Minor scratches."
48,Aston-Martin,Vanquish,2014,126900.81,47317,Coupe,8,Automatic Transmission,Gasoline,Silver, Dubai,"2014 aston-martin vanquish with Rear camera, Navigation system. Condition: Minor scratches."
49,Aston-Martin,Db11,2012,132857.82,206291,Coupe,12,Automatic Transmission,Gasoline,Green, Dubai,"2012 aston-martin db11 with Rear camera, Adaptive cruise control, Navigation system. Condition: Accident history."
50,Aston-Martin,Vanquish,2008,131411.7,109629,Coupe,12,Automatic Transmission,Gasoline,Grey, Dubai,"2008 aston-martin vanquish with Adaptive cruise control, Sunroof, Leather seats, Rear camera. Condition: Repainted bumper."
51,Aston-Martin,Vanquish,2019,129649.41,169034,Coupe,12,Automatic Transmission,Gasoline,Grey, Dubai,"2019 aston-martin vanquish with Rear camera, Leather seats, Navigation system, Sunroof. Condition: Minor scratches."
52,Aston-Martin,Db9,2012,96978.06,34161,Coupe,12,Automatic Transmission,Gasoline,Brown, Dubai,"2012 aston-martin db9 with Navigation system, Adaptive cruise control. Condition: Repainted bumper."
53,Aston-Martin,Vanquish,2020,109650.78,250409,Coupe,12,Automatic Transmission,Gasoline,Red, Dubai,"2020 aston-martin vanquish with Leather seats, Bluetooth, Rear camera, Adaptive cruise control. Condition: Repainted bumper."
54,Aston-Martin,Other,2022,264462.57,255375,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2022 aston-martin other with Leather seats, Rear camera, Adaptive cruise control. Condition: Repainted bumper."
55,Aston-Martin,Db11,2017,122713.11,147310,Coupe,12,Automatic Transmission,Gasoline,Grey, Dubai,"2017 aston-martin db11 with Navigation system, Leather seats. Condition: Minor scratches."
56,Aston-Martin,Vantage,2012,128288.07,187062,Sports Car,12,Automatic Transmission,Gasoline,Silver, Dubai,"2012 aston-martin vantage with Rear camera, Navigation system. Condition: Engine repaired."
57,Aston-Martin,Vantage,2008,54085.86,235854,Coupe,8,Automatic Transmission,Gasoline,White, Dubai,"2008 aston-martin vantage with Adaptive cruise control, Sunroof, Navigation system. Condition: Repainted bumper."
58,Aston-Martin,Db11,2005,240299.73,216932,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2005 aston-martin db11 with Bluetooth, Leather seats, Sunroof, Navigation system. Condition: No damage."
59,Aston-Martin,Vantage,2016,137266.38,290504,Coupe,8,Automatic Transmission,Gasoline,Green, Dubai,"2016 aston-martin vantage with Sunroof, Leather seats, Navigation system. Condition: Accident history."
60,Audi,Q8,2010,231159.96,246373,Hatchback,8,Automatic Transmission,Gasoline,Grey, Dubai,"2010 audi q8 with Navigation system, Rear camera, Sunroof. Condition: Dented door."
61,Audi,Tt,2016,12007.44,273308,Coupe,4,Automatic Transmission,Gasoline,White, Dubai,"2016 audi tt with Bluetooth, Navigation system, Leather seats. Condition: No damage."
62,Audi,Q7,2022,7668.27,165386,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 audi q7 with Adaptive cruise control, Bluetooth. Condition: Repainted bumper."
63,Audi,A3,2017,18824.94,75665,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2017 audi a3 with Leather seats, Bluetooth. Condition: No damage."
64,Audi,Q8,2017,63995.13,10346,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2017 audi q8 with Leather seats, Adaptive cruise control. Condition: Engine repaired."
65,Audi,Q5,2023,51184.98,15562,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2023 audi q5 with Rear camera, Bluetooth, Leather seats. Condition: Minor scratches."
66,Audi,Q5,2011,23418.18,247991,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2011 audi q5 with Adaptive cruise control, Rear camera, Navigation system, Bluetooth. Condition: Repainted bumper."
67,Audi,A3,2015,13583.97,261661,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2015 audi a3 with Sunroof, Leather seats, Navigation system. Condition: No damage."
68,Audi,A8,2007,33308.01,264738,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2007 audi a8 with Sunroof, Bluetooth. Condition: Repainted bumper."
69,Audi,A6,2016,13718.43,84300,Sedan,6,Automatic Transmission,Gasoline,Brown, Dubai,"2016 audi a6 with Navigation system, Bluetooth, Leather seats, Adaptive cruise control. Condition: Accident history."
70,Audi,S7Rs7,2010,203927.49,71520,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2010 audi s7rs7 with Navigation system, Rear camera, Sunroof, Leather seats. Condition: Repainted bumper."
71,Audi,A8,2017,29126.52,79527,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2017 audi a8 with Leather seats, Rear camera, Sunroof, Adaptive cruise control. Condition: Engine repaired."
72,Audi,A8,2009,7049.97,225590,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2009 audi a8 with Sunroof, Rear camera, Adaptive cruise control, Navigation system. Condition: Engine repaired."
73,Audi,Q7,2008,39756.69,106776,SUV,6,Automatic Transmission,Gasoline,Beige, Dubai,"2008 audi q7 with Leather seats, Navigation system, Sunroof. Condition: Engine repaired."
74,Audi,A3,2008,21545.46,257136,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2008 audi a3 with Rear camera, Adaptive cruise control, Sunroof, Navigation system. Condition: Engine repaired."
75,Audi,S8,2010,134667.36,49574,Sedan,8,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2010 audi s8 with Navigation system, Bluetooth, Adaptive cruise control. Condition: Repainted bumper."
76,Audi,A8,2023,18167.49,68592,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2023 audi a8 with Adaptive cruise control, Bluetooth, Navigation system. Condition: Repainted bumper."
77,Audi,A8,2009,17396.91,188065,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2009 audi a8 with Adaptive cruise control, Rear camera, Navigation system, Leather seats. Condition: No damage."
78,Audi,Q7,2007,45628.11,261917,SUV,6,Automatic Transmission,Gasoline,Beige, Dubai,"2007 audi q7 with Bluetooth, Leather seats. Condition: Repainted bumper."
79,Audi,Q2,2024,24720.93,226087,Crossover,0,Automatic Transmission,Electric,White, Dubai,"2024 audi q2 with Rear camera, Sunroof. Condition: Accident history."
80,Audi,Q8,2023,175947.12,66242,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2023 audi q8 with Leather seats, Rear camera, Sunroof, Bluetooth. Condition: No damage."
81,Audi,S3Rs3,2007,42866.28,49053,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2007 audi s3rs3 with Rear camera, Adaptive cruise control, Navigation system. Condition: Dented door."
82,Audi,A8,2006,26812.62,94902,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2006 audi a8 with Rear camera, Navigation system, Adaptive cruise control, Leather seats. Condition: Dented door."
83,Audi,S3Rs3,2012,21629.7,66944,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2012 audi s3rs3 with Navigation system, Adaptive cruise control. Condition: Minor scratches."
84,Audi,A5,2021,29079.54,211326,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2021 audi a5 with Rear camera, Bluetooth, Leather seats. Condition: Dented door."
85,Audi,Q3,2016,10448.19,36961,SUV,4,Manual Transmission,Gasoline,Gold, Dubai,"2016 audi q3 with Sunroof, Navigation system, Bluetooth, Leather seats. Condition: Dented door."
86,Audi,Tt,2011,31763.07,60865,Coupe,4,Automatic Transmission,Gasoline,White, Dubai,"2011 audi tt with Sunroof, Bluetooth. Condition: Accident history."
87,Audi,A3,2017,12348.99,134693,Hatchback,3,Automatic Transmission,Gasoline,Black, Dubai,"2017 audi a3 with Leather seats, Rear camera. Condition: Minor scratches."
88,Audi,S8,2015,166116.96,121068,Sedan,8,Automatic Transmission,Gasoline,Blue, Abu Dhabi,"2015 audi s8 with Sunroof, Leather seats, Navigation system. Condition: Engine repaired."
89,Audi,Q5,2014,10766.25,82935,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2014 audi q5 with Adaptive cruise control, Leather seats, Bluetooth. Condition: Minor scratches."
90,Audi,A8,2023,22584.69,243189,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2023 audi a8 with Leather seats, Navigation system. Condition: No damage."
91,Audi,S8,2024,34838.64,59299,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2024 audi s8 with Sunroof, Bluetooth. Condition: No damage."
92,Audi,Q5,2011,8537.67,23671,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai,"2011 audi q5 with Rear camera, Sunroof, Leather seats, Adaptive cruise control. Condition: Engine repaired."
93,Audi,Q8,2010,88607.52,233430,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2010 audi q8 with Bluetooth, Rear camera. Condition: Engine repaired."
94,Audi,S3Rs3,2006,50683.86,239732,Sedan,5,Automatic Transmission,Gasoline,Grey, Dubai,"2006 audi s3rs3 with Bluetooth, Rear camera. Condition: Dented door."
95,Audi,Q7,2005,14156.64,65869,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2005 audi q7 with Rear camera, Sunroof. Condition: Dented door."
96,Audi,A6,2020,12746.97,61411,Sedan,6,Automatic Transmission,Gasoline,Brown, Dubai,"2020 audi a6 with Sunroof, Bluetooth. Condition: Engine repaired."
97,Audi,Rs6,2012,36141.93,143522,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2012 audi rs6 with Adaptive cruise control, Rear camera, Navigation system. Condition: Minor scratches."
98,Audi,A8,2010,19233.18,295163,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2010 audi a8 with Adaptive cruise control, Bluetooth. Condition: No damage."
99,Audi,Rs6,2007,197066.79,214071,Coupe,8,Automatic Transmission,Gasoline,Grey, Dubai,"2007 audi rs6 with Adaptive cruise control, Rear camera, Sunroof. Condition: Accident history."
100,Audi,Q8,2012,157750.47,113540,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2012 audi q8 with Navigation system, Bluetooth, Sunroof, Leather seats. Condition: Engine repaired."
101,Audi,Q5,2014,18265.23,231992,SUV,4,Automatic Transmission,Gasoline,White, Abu Dhabi,"2014 audi q5 with Sunroof, Rear camera, Bluetooth. Condition: Dented door."
102,Audi,Rs6,2018,173444.22,225705,Hatchback,6,Automatic Transmission,Gasoline,Black, Dubai,"2018 audi rs6 with Sunroof, Leather seats, Adaptive cruise control, Bluetooth. Condition: Minor scratches."
103,Audi,A6,2007,58544.91,40005,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2007 audi a6 with Bluetooth, Rear camera, Leather seats, Sunroof. Condition: Accident history."
104,Audi,A4,2007,4561.11,255097,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2007 audi a4 with Sunroof, Leather seats, Bluetooth. Condition: Minor scratches."
105,Audi,Q3,2006,20702.79,291532,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2006 audi q3 with Adaptive cruise control, Leather seats, Bluetooth, Navigation system. Condition: No damage."
106,Audi,A5,2015,79070.31,281703,Hatchback,4,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2015 audi a5 with Leather seats, Adaptive cruise control, Bluetooth, Rear camera. Condition: Minor scratches."
107,Audi,Q7,2012,23173.29,83246,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2012 audi q7 with Navigation system, Rear camera, Adaptive cruise control. Condition: No damage."
108,Audi,S7Rs7,2007,138400.92,295758,Sports Car,8,Automatic Transmission,Gasoline,Grey, Dubai,"2007 audi s7rs7 with Leather seats, Rear camera, Sunroof, Navigation system. Condition: Repainted bumper."
109,Audi,S3Rs3,2012,49809.33,38067,Sedan,5,Automatic Transmission,Gasoline,Grey, Dubai,"2012 audi s3rs3 with Leather seats, Navigation system, Bluetooth. Condition: Minor scratches."
110,Audi,S7Rs7,2023,112481.73,237872,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2023 audi s7rs7 with Leather seats, Bluetooth. Condition: Engine repaired."
111,Audi,A7,2016,14862.96,14326,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2016 audi a7 with Leather seats, Sunroof, Rear camera. Condition: Minor scratches."
112,Audi,A8,2013,39455.64,188268,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2013 audi a8 with Bluetooth, Leather seats. Condition: No damage."
113,Audi,Q5,2006,23170.86,254034,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2006 audi q5 with Sunroof, Leather seats, Navigation system, Rear camera. Condition: Repainted bumper."
114,Audi,Q5,2017,7718.22,97749,SUV,4,Automatic Transmission,Gasoline,Silver, Dubai,"2017 audi q5 with Bluetooth, Rear camera, Leather seats, Adaptive cruise control. Condition: Engine repaired."
115,Audi,A6,2008,14658.84,202088,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2008 audi a6 with Navigation system, Adaptive cruise control. Condition: Engine repaired."
116,Audi,A8,2017,31303.8,186595,Sedan,6,Automatic Transmission,Gasoline,Blue, Dubai,"2017 audi a8 with Bluetooth, Adaptive cruise control. Condition: Minor scratches."
117,Audi,A8,2013,25320.33,277189,Sedan,8,Automatic Transmission,Gasoline,White, Sharjah,"2013 audi a8 with Navigation system, Adaptive cruise control, Rear camera. Condition: Repainted bumper."
118,Audi,Q5,2018,10411.2,259659,SUV,4,Automatic Transmission,Gasoline,Silver, Dubai,"2018 audi q5 with Navigation system, Bluetooth, Rear camera. Condition: No damage."
119,Audi,A8,2019,10551.6,38388,Sedan,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2019 audi a8 with Navigation system, Bluetooth, Adaptive cruise control. Condition: No damage."
120,Audi,A8,2006,28224.18,68007,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2006 audi a8 with Bluetooth, Leather seats, Navigation system. Condition: Dented door."
121,Audi,A6,2009,13698.18,120968,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2009 audi a6 with Sunroof, Adaptive cruise control, Navigation system, Bluetooth. Condition: Minor scratches."
122,Audi,S8,2023,110338.74,181614,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2023 audi s8 with Adaptive cruise control, Sunroof, Leather seats. Condition: Dented door."
123,Audi,A8,2021,37399.59,10754,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2021 audi a8 with Adaptive cruise control, Leather seats. Condition: Minor scratches."
124,Audi,S3Rs3,2021,51731.73,145925,Sedan,5,Automatic Transmission,Gasoline,Grey, Dubai,"2021 audi s3rs3 with Sunroof, Bluetooth, Adaptive cruise control, Leather seats. Condition: Dented door."
125,Audi,A5,2014,33009.93,128456,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2014 audi a5 with Adaptive cruise control, Bluetooth. Condition: No damage."
126,Audi,S3Rs3,2014,28349.46,172403,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2014 audi s3rs3 with Bluetooth, Leather seats. Condition: No damage."
127,Audi,A8,2014,71318.88,147021,Sedan,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2014 audi a8 with Rear camera, Navigation system. Condition: Repainted bumper."
128,Audi,Rs6,2023,176561.91,118622,Hatchback,6,Automatic Transmission,Gasoline,Black, Dubai,"2023 audi rs6 with Navigation system, Bluetooth, Adaptive cruise control. Condition: Dented door."
129,Audi,Q7,2016,18151.83,258654,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2016 audi q7 with Navigation system, Sunroof, Bluetooth. Condition: Engine repaired."
130,Audi,A6,2013,42999.66,228367,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2013 audi a6 with Rear camera, Adaptive cruise control, Leather seats. Condition: Accident history."
131,Audi,A5,2010,11634.57,285021,Coupe,4,Automatic Transmission,Gasoline,Grey, Dubai,"2010 audi a5 with Leather seats, Sunroof, Adaptive cruise control. Condition: Repainted bumper."
132,Audi,R8,2020,72766.35,93465,Sports Car,10,Automatic Transmission,Gasoline,Black, Dubai,"2020 audi r8 with Adaptive cruise control, Navigation system, Leather seats. Condition: Accident history."
133,Audi,Rs6,2010,34069.68,276073,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2010 audi rs6 with Leather seats, Adaptive cruise control. Condition: Accident history."
134,Audi,E-Tron,2024,123419.16,293155,Sedan,0,Automatic Transmission,Electric,White, Dubai,"2024 audi e-tron with Sunroof, Rear camera, Navigation system, Leather seats. Condition: Minor scratches."
135,Audi,Q8,2024,220516.02,49859,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2024 audi q8 with Rear camera, Leather seats. Condition: No damage."
136,Audi,A5,2019,52953.21,237773,Sedan,4,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2019 audi a5 with Adaptive cruise control, Navigation system, Bluetooth, Sunroof. Condition: Engine repaired."
137,Audi,S3Rs3,2023,15540.39,117559,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2023 audi s3rs3 with Rear camera, Bluetooth. Condition: No damage."
138,Audi,Q7,2018,31179.06,262251,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2018 audi q7 with Rear camera, Navigation system. Condition: Dented door."
139,Audi,E-Tron,2013,117807.48,225163,Sedan,0,Automatic Transmission,Electric,White, Dubai,"2013 audi e-tron with Sunroof, Rear camera, Navigation system, Leather seats. Condition: Dented door."
140,Audi,Q5,2008,12664.08,36747,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2008 audi q5 with Navigation system, Bluetooth, Sunroof, Leather seats. Condition: Dented door."
141,Audi,Q7,2020,5382.45,74295,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2020 audi q7 with Rear camera, Adaptive cruise control, Leather seats. Condition: Engine repaired."
142,Audi,S3Rs3,2023,54460.89,54310,Hatchback,4,Automatic Transmission,Gasoline,Grey, Dubai,"2023 audi s3rs3 with Adaptive cruise control, Navigation system, Sunroof, Rear camera. Condition: No damage."
